source	replacement	kind	priority	is_locked	enabled	by	created_at	expires_at	tags	note
にんげん	人間	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
いとし	愛し	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
めいかく	めい確	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
おこなってい	行ってい	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
レガトゥス	レガトウス	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
あす	明日	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
だいじょうぶ	大丈夫	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
こうめいせいだい	公明正大	literal	0	true	true	pre-coeiroink	2026-04-22T18:33:21Z		dictionary.pre-coeiroink	migrated from dictionary.pre-coeiroink.txt
